timestamp,rate,change,change_pct
2026-07-17T05:17:49.972843,1.3896,-0.0142,-1.01
2026-07-17T05:17:56.497747,1.3896,-0.0142,-1.01
2026-07-17T05:18:11.992073,1.3896,-0.0142,-1.01
2026-07-17T05:18:12.107721,1.3896,-0.0142,-1.01
2026-07-17T05:21:11.022240,1.3896,-0.0142,-1.01
2026-07-17T05:21:11.133247,1.3896,-0.0142,-1.01
2026-07-17T05:24:33.264895,1.3896,-0.0142,-1.01
2026-07-17T05:26:20.765015,1.3896,-0.0142,-1.01
2026-07-17T05:26:20.832669,1.3896,-0.0142,-1.01
2026-07-17T05:28:24.057119,1.3896,-0.0142,-1.01
2026-07-17T05:34:44.536419,1.3896,-0.0142,-1.01
2026-07-17T05:34:44.681074,1.3896,-0.0142,-1.01
2026-07-17T05:58:32.788504,1.3896,-0.0142,-1.01
2026-07-17T06:28:53.634849,1.3896,-0.0142,-1.01
2026-07-17T06:59:50.289877,1.3896,-0.0142,-1.01
2026-07-17T07:29:58.535165,1.3896,-0.0142,-1.01
2026-07-17T08:00:07.770607,1.3896,-0.0142,-1.01
2026-07-17T08:30:16.753285,1.3896,-0.0142,-1.01
2026-07-17T09:00:26.716961,1.3896,-0.0142,-1.01
2026-07-17T09:30:35.450843,1.3896,-0.0142,-1.01
2026-07-17T10:00:44.614499,1.3896,-0.0142,-1.01
2026-07-17T10:30:52.706867,1.3896,-0.0142,-1.01
2026-07-17T11:01:02.260219,1.3896,-0.0142,-1.01
2026-07-17T11:19:11.995136,1.3896,-0.0142,-1.01
2026-07-17T11:19:12.100357,1.3896,-0.0142,-1.01
2026-07-17T11:19:56.915744,1.3896,-0.0142,-1.01
2026-07-17T11:19:57.037096,1.3896,-0.0142,-1.01
2026-07-17T11:22:05.042962,1.3896,-0.0142,-1.01
2026-07-17T11:22:05.101493,1.3896,-0.0142,-1.01
2026-07-17T11:24:23.758150,1.3896,-0.0142,-1.01
2026-07-17T11:24:23.868696,1.3896,-0.0142,-1.01
2026-07-17T11:27:58.255063,1.3896,-0.0142,-1.01
2026-07-17T11:27:58.367287,1.3896,-0.0142,-1.01
2026-07-17T11:31:11.325221,1.3896,-0.0142,-1.01
2026-07-17T12:01:20.803100,1.3896,-0.0142,-1.01
2026-07-17T12:31:29.385463,1.3896,-0.0142,-1.01
2026-07-17T13:01:38.574820,1.3896,-0.0142,-1.01
2026-07-17T13:31:46.568789,1.3896,-0.0142,-1.01
2026-07-17T13:47:48.628863,1.3896,-0.0142,-1.01
2026-07-17T13:47:48.721438,1.3896,-0.0142,-1.01
2026-07-17T14:01:56.264072,1.3896,-0.0142,-1.01
2026-07-17T14:14:40.047017,1.3896,-0.0142,-1.01
2026-07-17T14:14:40.115204,1.3896,-0.0142,-1.01
2026-07-17T14:17:29.847253,1.3896,-0.0142,-1.01
2026-07-17T14:17:29.922685,1.3896,-0.0142,-1.01
2026-07-17T14:20:43.639494,1.3896,-0.0142,-1.01
2026-07-17T14:20:43.705465,1.3896,-0.0142,-1.01
2026-07-17T14:22:33.381527,1.3896,-0.0142,-1.01
2026-07-17T14:22:33.485129,1.3896,-0.0142,-1.01
2026-07-17T14:26:20.480457,1.3896,-0.0142,-1.01
2026-07-17T14:26:20.576575,1.3896,-0.0142,-1.01
2026-07-17T14:28:25.300851,1.3896,-0.0142,-1.01
2026-07-17T14:29:38.525055,1.3896,-0.0142,-1.01
2026-07-17T14:29:38.623019,1.3896,-0.0142,-1.01
2026-07-17T14:30:01.169003,1.3896,-0.0142,-1.01
2026-07-17T14:30:01.227493,1.3896,-0.0142,-1.01
2026-07-17T14:30:32.590571,1.3896,-0.0142,-1.01
2026-07-17T14:30:32.650577,1.3896,-0.0142,-1.01
2026-07-17T14:32:05.772548,1.3896,-0.0142,-1.01
2026-07-17T14:34:07.964580,1.3896,-0.0142,-1.01
2026-07-17T14:34:08.062103,1.3896,-0.0142,-1.01
2026-07-17T14:38:44.702428,1.3896,-0.0142,-1.01
2026-07-17T14:38:44.804463,1.3896,-0.0142,-1.01
2026-07-17T15:02:14.126750,1.3896,-0.0142,-1.01
2026-07-17T15:05:35.330978,1.3896,-0.0142,-1.01
2026-07-17T15:05:35.437682,1.3896,-0.0142,-1.01
2026-07-17T15:32:23.350397,1.3896,-0.0142,-1.01
2026-07-17T15:46:42.217006,1.3896,-0.0142,-1.01
2026-07-17T15:46:42.307001,1.3896,-0.0142,-1.01
2026-07-17T15:49:16.720209,1.3896,-0.0142,-1.01
2026-07-17T15:50:01.894520,1.3896,-0.0142,-1.01
2026-07-17T15:50:01.994029,1.3896,-0.0142,-1.01
2026-07-17T16:02:32.486399,1.3896,-0.0142,-1.01
2026-07-17T16:03:09.828887,1.3896,-0.0142,-1.01
2026-07-17T16:03:09.924423,1.3896,-0.0142,-1.01
2026-07-17T16:03:18.174135,1.3896,-0.0142,-1.01
2026-07-17T16:03:25.478430,1.3896,-0.0142,-1.01
2026-07-17T16:03:25.581264,1.3896,-0.0142,-1.01
2026-07-17T16:17:25.971658,1.3896,-0.0142,-1.01
2026-07-17T16:17:26.040584,1.3896,-0.0142,-1.01
2026-07-17T16:32:41.941367,1.3896,-0.0142,-1.01
2026-07-17T16:55:17.131060,1.3896,-0.0142,-1.01
2026-07-17T16:55:17.197730,1.3896,-0.0142,-1.01
2026-07-17T16:59:35.653711,1.3896,-0.0142,-1.01
2026-07-17T16:59:35.717371,1.3896,-0.0142,-1.01
2026-07-17T17:02:50.521679,1.3896,-0.0142,-1.01
2026-07-17T17:10:30.662359,1.3896,-0.0142,-1.01
2026-07-17T17:10:30.775358,1.3896,-0.0142,-1.01
2026-07-17T17:32:59.247756,1.3896,-0.0142,-1.01
2026-07-17T18:03:07.563405,1.3896,-0.0142,-1.01
2026-07-17T18:33:16.894457,1.3896,-0.0142,-1.01
2026-07-17T19:03:28.579751,1.3896,-0.0142,-1.01
